DateTime,zone1,zone2,zone3,temp,humidity,wind_speed,hour,dayofweek,month,is_weekend,is_night,z1_rolling_mean_w12,z1_rolling_std_w12,z1_rolling_min_w12,z1_rolling_max_w12,z1_rolling_mean_w144,z1_rolling_std_w144,z1_rolling_min_w144,z1_rolling_max_w144,z1_rolling_mean_w288,z1_rolling_std_w288,z1_rolling_min_w288,z1_rolling_max_w288,z1_diff_1,z1_diff_6,z1_diff_144,z1_lag_1,z1_lag_6,z1_lag_144,z1_zscore,outage
2017-01-01 00:00:00,6.559,73.8,0.083,0.051,0.119,34055.6962,0,6,1,1,1,6.559,0.0,6.559,6.559,6.559,0.0,6.559,6.559,6.559,0.0,6.559,6.559,-0.14500000000000046,-0.9180000000000001,4.451,6.559,6.559,6.559,0.0,0
2017-01-01 00:10:00,6.414,74.5,0.083,0.07,0.085,29814.68354,0,6,1,1,1,6.4864999999999995,0.1025304832720494,6.414,6.559,6.4864999999999995,0.1025304832720494,6.414,6.559,6.4864999999999995,0.1025304832720494,6.414,6.559,-0.14500000000000046,-0.9180000000000001,4.451,6.559,6.559,6.559,-0.7071067811865454,0
2017-01-01 00:20:00,6.313,74.5,0.08,0.062,0.1,29128.10127,0,6,1,1,1,6.428666666666667,0.12365408741053946,6.313,6.559,6.428666666666667,0.12365408741053946,6.313,6.559,6.428666666666667,0.12365408741053946,6.313,6.559,-0.10099999999999998,-0.9180000000000001,4.451,6.414,6.559,6.559,-0.9354051215682583,0
2017-01-01 00:30:00,6.121,75.0,0.083,0.091,0.096,28228.86076,0,6,1,1,1,6.35175,0.1840061140288548,6.121,6.559,6.35175,0.1840061140288548,6.121,6.559,6.35175,0.1840061140288548,6.121,6.559,-0.19199999999999928,-0.9180000000000001,4.451,6.313,6.559,6.559,-1.254034417377102,0
2017-01-01 00:40:00,5.921,75.7,0.081,0.048,0.085,27335.6962,0,6,1,1,1,6.2656,0.25000559993728116,5.921,6.559,6.2656,0.25000559993728116,5.921,6.559,6.2656,0.25000559993728116,5.921,6.559,-0.20000000000000018,-0.9180000000000001,4.451,6.121,6.559,6.559,-1.3783691248774008,0
2017-01-01 00:50:00,5.853,76.9,0.081,0.059,0.108,26624.81013,0,6,1,1,1,6.196833333333333,0.27995600844894647,5.853,6.559,6.196833333333333,0.27995600844894647,5.853,6.559,6.196833333333333,0.27995600844894647,5.853,6.559,-0.0680000000000005,-0.9180000000000001,4.451,5.921,6.559,6.559,-1.2281691514259312,0
2017-01-01 01:00:00,5.641,77.7,0.08,0.048,0.096,25998.98734,1,6,1,1,1,6.117428571428571,0.3308301966985767,5.641,6.559,6.117428571428571,0.3308301966985767,5.641,6.559,6.117428571428571,0.3308301966985767,5.641,6.559,-0.21199999999999974,-0.9180000000000001,4.451,5.853,6.559,6.559,-1.4401000156060455,0
2017-01-01 01:10:00,5.496,78.2,0.085,0.055,0.093,25446.07595,1,6,1,1,1,6.03975,0.37694135580257776,5.496,6.559,6.03975,0.37694135580257776,5.496,6.559,6.03975,0.37694135580257776,5.496,6.559,-0.14499999999999957,-0.9179999999999993,4.451,5.641,6.414,6.559,-1.4425320852424248,0
2017-01-01 01:20:00,5.678,78.1,0.081,0.066,0.141,24777.72152,1,6,1,1,1,5.999555555555556,0.37264531095638065,5.496,6.559,5.999555555555556,0.37264531095638065,5.496,6.559,5.999555555555556,0.37264531095638065,5.496,6.559,0.1819999999999995,-0.6349999999999998,4.451,5.496,6.313,6.559,-0.8628997765470217,0
2017-01-01 01:30:00,5.491,77.3,0.082,0.062,0.111,24279.49367,1,6,1,1,1,5.9487000000000005,0.3863910080619255,5.491,6.559,5.9487000000000005,0.3863910080619255,5.491,6.559,5.9487000000000005,0.3863910080619255,5.491,6.559,-0.18700000000000028,-0.6300000000000008,4.451,5.678,6.121,6.559,-1.184551375291443,0
